Time [ms], Peak Frequency [Hz], Duty Cycle, Energy, WindowRMS
1505233886359,8789.0625,0.7260010961944666,3.2508875638840546,0.01583502540509346
1505233886360,8789.0625,0.7263337936209681,3.108265940534998,0.018406593536904096
1505233886361,8789.0625,0.7190038516140941,2.7019658378717355,0.018221671201505342
1505233886362,8728.02734375,0.7140221672019396,2.260053264069165,0.018112001514448323
1505233886363,8728.02734375,0.721462897948649,1.9449586065755629,0.018220098109749807
1505233886364,8728.02734375,0.73425758976992,1.836028419417455,0.01832942717241482
1505233886365,8666.9921875,0.7428873536287653,2.228952044857857,0.018382914328438048
1505233886366,8666.9921875,0.7431610962101526,2.291741515400144,0.01838652481095921
1505233886367,8666.9921875,0.7337841293705333,2.225397032234658,0.01830620254076156
1505233886368,8605.95703125,0.711070616065784,2.1707071968047305,0.018093263589548367
1505233886369,8605.95703125,0.6781769589584825,2.014796379703517,0.017734713724821743
1505233886370,8605.95703125,0.6354785811774885,1.8663505610965696,0.01715975122727945
1505233886371,8544.921875,0.5781598986186517,1.7599309721786012,0.01612527667181039
1505233886372,8544.921875,0.5357438742152267,1.794086710188843,0.014949952020670523
1505233886373,8544.921875,0.48210523711718845,1.8718726590462063,0.013578827776910368
1505233886374,8483.88671875,0.4631152455886682,2.0478534265751835,0.012443598677179686
1505233886375,8483.88671875,0.4502154768429429,2.174594669863227,0.011513009620173775
1505233886376,8483.88671875,0.46002440642409326,2.233582019442792,0.010940921885380895
1505233886377,8422.8515625,0.46109237494531563,3.4654023838574646,0.010801176130980134
1505233886378,8422.8515625,0.46941694761933556,3.5582234280253155,0.011080912984654263
1505233886379,8422.8515625,0.4832607493816009,3.463859758294253,0.011919018306203682
1505233886380,8361.81640625,0.48939905918120963,3.7588076166961284,0.01306149208583701
1505233886381,8361.81640625,0.5447443105490721,3.4714142610666854,0.014400465445003514
1505233886382,8300.78125,0.5973683262622332,3.2279645433488318,0.01550012420205914
1505233886384,8300.78125,0.5953338224314357,3.2156214120548663,0.01665716562506784
1505233886386,8300.78125,0.7188720438832386,3.437227634363925,0.01907004127980715
1505233886387,8300.78125,0.8339097006418257,3.784869905476,0.021000448693351895
1505233886388,8300.78125,0.8815033570675314,4.0866706762015275,0.021667135178810075
1505233886389,8300.78125,0.9089160189061499,4.2195950943573,0.021992247520382688
1505233886390,8300.78125,0.9150386959340319,4.192520131259157,0.022058987560273
1505233886391,8300.78125,0.8923728070434477,4.111197799064879,0.021845249712864362
1505233886392,8300.78125,0.8616860446254436,4.021388649635961,0.021507368670235658
1505233886393,8300.78125,0.8472214284231909,3.9299717711983204,0.02127596215701536
1505233886394,8300.78125,0.8487934324790203,3.8427204987772132,0.021330442642247465
1505233886395,8300.78125,0.7838738942910498,3.7703735868871453,0.021869698453243235
1505233886396,8300.78125,0.7979911618752892,3.727529244551954,0.022689730527548645
1505233886397,8361.81640625,0.7437115084786101,3.3872416412872144,0.023584985867084924
1505233886398,8361.81640625,0.7463349986126337,3.6417262421369907,0.024513353409924263
1505233886399,8361.81640625,0.7441477505665904,4.034606418988498,0.025595827068657897
1505233886400,8361.81640625,0.7609657671466563,4.415140615754698,0.026206076075693356
1505233886400,8361.81640625,0.7749756627112815,4.612030113603385,0.026701544970917937
1505233886401,8361.81640625,0.7749756627112815,4.525351542974698,0.026701544970917937
1505233886402,8361.81640625,0.7830445871413129,4.179446563200394,0.026976655918252594
1505233886403,8361.81640625,0.7953094386454648,3.6822246152566045,0.027365970090787443
1505233886404,8361.81640625,0.8010347234378071,3.1814219825425707,0.02752471847957484
1505233886405,8361.81640625,0.8093458451564957,2.8139128297166347,0.02772181415511863
1505233886406,8361.81640625,0.8189170165631756,2.658218987211961,0.027885238870417096
1505233886407,8361.81640625,0.8365313212076823,2.728118561909756,0.028092549793036412
1505233886408,8422.8515625,0.8546223430513586,2.954490868696458,0.028252052959715956
1505233886409,8422.8515625,0.852737306798779,3.2154279868152793,0.028227128055411003
1505233886410,8422.8515625,0.8264373683329649,3.3896805088119333,0.027894550707453888
1505233886411,8422.8515625,0.7791877842549257,3.45531844210143,0.02710349971049625
1505233886412,8422.8515625,0.7249123195432267,3.4788535350304706,0.025927883544647982
1505233886413,8422.8515625,0.6730004076687794,3.5579493557079576,0.02454860431496609
1505233886414,8422.8515625,0.627917283735935,3.7632921813901925,0.023043584402726653
1505233886415,8422.8515625,0.6538383121539142,4.091998998951955,0.02156151006939952
1505233886416,8422.8515625,0.6445562741610212,4.46641010431009,0.020795347662646096
1505233886417,8422.8515625,0.6491348722156011,4.75989594327014,0.020616620930487668
1505233886418,8422.8515625,0.6543171562109302,4.89052635449153,0.02072459535888928
1505233886419,8422.8515625,0.6500401399552769,4.914848475286417,0.020852242310459495
1505233886420,8483.88671875,0.658128477261732,4.958997867279522,0.021170571487318126
1505233886421,8483.88671875,0.6691760185259544,5.257318838988626,0.02154881188243324
1505233886422,8483.88671875,0.6944623330425443,5.805494403415057,0.02234370872850375
1505233886423,8483.88671875,0.7244763033351198,6.458124885069984,0.0231767765863265
1505233886424,8483.88671875,0.752966175905683,6.996990565592244,0.023840977287718453
1505233886425,8483.88671875,0.7817302018524775,7.252254681118668,0.024378323692552484
1505233886427,8483.88671875,0.8144113431585742,7.18705072302012,0.024850773686803367
1505233886428,8483.88671875,0.8628166163750177,6.9034270678674075,0.02533980363683208
1505233886429,8483.88671875,0.8604493344795676,6.547987468556229,0.025323183271207292
1505233886430,8483.88671875,0.8413559876085621,6.257769560537951,0.02516022274108267
